Date,Open,High,Low,Close,Adj Close,Volume
07-Jul-15,37.720001,37.810001,36,36.619999,36.619999,7359000
08-Jul-15,36.34,36.360001,34.529999,34.700001,34.700001,5387700
09-Jul-15,35.099998,35.52,33.990002,34.5,34.5,3760100
10-Jul-15,34.66,35.189999,33.98,34.689999,34.689999,4472800
13-Jul-15,35.59,37.5,35.5,36.779999,36.779999,7626000
14-Jul-15,36.990002,37.740002,36.599998,36.93,36.93,4653300
15-Jul-15,37.98,38.200001,37.029999,37.509998,37.509998,13072800
16-Jul-15,38.82,39.970001,38.080002,38.630001,38.630001,21348500
17-Jul-15,39.419998,40.200001,38.18,38.389999,38.389999,45720200
20-Jul-15,41.459999,42.549999,39.799999,40.470001,40.470001,52286500
21-Jul-15,41.080002,41.110001,39.119999,39.349998,39.349998,32954600
22-Jul-15,39.349998,39.720001,38.099998,38.389999,38.389999,25363900
23-Jul-15,38.740002,38.75,36.93,37.009998,37.009998,19250200
24-Jul-15,37.709999,38,36.91,37,37,14274300
27-Jul-15,36.779999,37.380001,36.220001,36.389999,36.389999,16179900
28-Jul-15,37.189999,38,36.830002,37.599998,37.599998,18986000
29-Jul-15,38.029999,38.099998,37.619999,37.950001,37.950001,11788400
30-Jul-15,38.040001,39.009998,37.715,38.450001,38.450001,13845100
31-Jul-15,39.139999,39.200001,38.220001,38.700001,38.700001,12480600
03-Aug-15,39.25,39.880001,38.900002,39.389999,39.389999,15126600
04-Aug-15,39.91,39.91,38.43,38.950001,38.950001,10992200
05-Aug-15,39.700001,39.880001,39.169998,39.27,39.27,9463100
06-Aug-15,39.630001,39.740002,38.549999,38.849998,38.849998,7324100
07-Aug-15,39.040001,39.23,38.599998,39.130001,39.130001,8331300
10-Aug-15,39.43,39.689999,38.77,39.049999,39.049999,7998900
11-Aug-15,38.93,39.279999,38.720001,38.849998,38.849998,8184000
12-Aug-15,38.549999,38.580002,37.009998,38.189999,38.189999,21350600
13-Aug-15,38.400002,38.490002,37.439999,37.619999,37.619999,7863500
14-Aug-15,37.490002,38.18,37.380001,38.139999,38.139999,6271100
17-Aug-15,38.299999,38.75,37.700001,38.73,38.73,4931700
18-Aug-15,39,39,37.869999,37.990002,37.990002,4678800
19-Aug-15,37.869999,38.099998,37.029999,37.189999,37.189999,6923400
20-Aug-15,36.849998,37.34,35.880001,35.98,35.98,10645700
21-Aug-15,35.57,36.110001,33.830002,34.25,34.25,16824100
24-Aug-15,31.17,34.849998,30,33.75,33.75,19676600
25-Aug-15,35.439999,35.459999,32.700001,32.700001,32.700001,15557100
26-Aug-15,33.700001,33.84,31.709999,33.169998,33.169998,25350400
27-Aug-15,33.869999,34.77,33.16,34.619999,34.619999,18909600
28-Aug-15,34.509998,35.259998,34.369999,35.040001,35.040001,8344800
31-Aug-15,35.5,35.509998,34.77,35,35,12123800
01-Sep-15,34.150002,34.68,33.41,33.77,33.77,13376000
02-Sep-15,34.599998,35.080002,33.834999,35.07,35.07,7521000
03-Sep-15,35.009998,35.459999,34.77,35.310001,35.310001,6683800
04-Sep-15,34.709999,34.720001,33.779999,34.290001,34.290001,7483100
08-Sep-15,34.810001,34.889999,34.25,34.700001,34.700001,7674500
09-Sep-15,34.919998,34.950001,33.880001,34.369999,34.369999,10946900
10-Sep-15,34.23,34.290001,32.950001,33.459999,33.459999,12134500
11-Sep-15,33.27,33.59,32.610001,33.549999,33.549999,9184200
14-Sep-15,33.700001,33.950001,33.200001,33.77,33.77,7897700
15-Sep-15,33.720001,33.950001,32.669998,33.799999,33.799999,11874900
16-Sep-15,33.459999,34.060001,33.360001,33.77,33.77,7183900
17-Sep-15,33.720001,33.990002,33.080002,33.32,33.32,7846800
18-Sep-15,32.900002,33.779999,32.549999,32.919998,32.919998,16488100
21-Sep-15,33.66,34.619999,33.43,34.25,34.25,12736500
22-Sep-15,33.939999,34.099998,33.189999,33.349998,33.349998,8538000
