Date,Open,High,Low,Close,Adj Close,Volume
02-Jan-15,28.059999,28.59,28.01,28.440001,24.049593,1257200
05-Jan-15,27.91,27.969999,26.9,27.040001,22.865719,1880100
06-Jan-15,27.040001,27.48,26.98,27.07,22.891085,2306300
07-Jan-15,27.139999,27.67,26.98,27.540001,23.28853,1296000
08-Jan-15,27.799999,28.42,27.67,28.33,23.95657,1166400
09-Jan-15,28.35,28.549999,28.23,28.379999,23.998856,882200
12-Jan-15,27.92,28.1,27.299999,27.889999,23.584501,1826300
13-Jan-15,27.530001,27.719999,26.280001,26.549999,22.451363,3595300
14-Jan-15,24.85,25.639999,23.6,25.559999,21.614191,8284100
15-Jan-15,25.950001,26.26,25.389999,25.68,21.715666,3496100
16-Jan-15,25.9,27.190001,25.83,27.09,22.907997,3678300
20-Jan-15,27,27.16,26.690001,27.049999,22.874174,2283900
21-Jan-15,27.059999,27.879999,26.92,27.809999,23.51685,1926500
22-Jan-15,28.09,28.49,28.040001,28.27,23.90584,1693700
23-Jan-15,27.66,27.809999,27.09,27.120001,22.933365,1885400
26-Jan-15,27,27.9,26.84,27.66,23.390007,1730800
27-Jan-15,26.450001,27.299999,26.4,26.98,22.814976,2669300
28-Jan-15,26.950001,27.4,26.639999,26.700001,22.578207,1678100
29-Jan-15,26.66,26.73,26.129999,26.620001,22.510557,1993200
30-Jan-15,26.370001,27.639999,26.15,27.280001,23.068668,3026700
02-Feb-15,27.469999,27.870001,27.040001,27.370001,23.144773,2338600
03-Feb-15,27.98,28.940001,27.969999,28.9,24.438581,3437800
04-Feb-15,28.559999,29.889999,28.49,29.219999,24.709179,3327600
05-Feb-15,29.07,29.860001,28.68,29.74,25.148909,2693900
06-Feb-15,29.18,29.549999,29.07,29.129999,24.633072,1772000
09-Feb-15,29.190001,29.85,29.09,29.59,25.022066,1267000
10-Feb-15,29.35,29.700001,29.059999,29.540001,24.979778,1900300
11-Feb-15,29.42,29.469999,28.85,29.27,24.751463,2591900
12-Feb-15,29.76,30.15,29.700001,30.129999,25.56605,1716300
13-Feb-15,30.43,30.950001,30.190001,30.43,25.820602,1478200
17-Feb-15,30.059999,30.68,30.030001,30.459999,25.84606,1255100
18-Feb-15,30.4,30.950001,30.299999,30.719999,26.066675,1181600
19-Feb-15,30.48,30.540001,30.09,30.18,25.608475,1194900
20-Feb-15,30.1,30.299999,30.040001,30.200001,25.625443,1042600
23-Feb-15,29.799999,30.18,29.620001,30.08,25.523619,1289900
24-Feb-15,30.4,30.52,30.030001,30.07,25.515133,1313500
25-Feb-15,30.190001,30.209999,29.9,30.07,25.515133,1078300
26-Feb-15,30.200001,30.27,29.860001,29.91,25.379368,1324800
27-Feb-15,30.07,30.280001,29.77,29.77,25.260576,1613300
02-Mar-15,29.719999,30.290001,29.559999,29.82,25.303003,1741600
03-Mar-15,29.809999,30.07,29.530001,29.559999,25.082388,1175700
04-Mar-15,29.209999,29.92,29.08,29.82,25.303003,1347700
05-Mar-15,29.700001,30.1,29.41,29.459999,24.997534,1612300
06-Mar-15,28.82,29.07,28.58,28.84,24.471449,1810100
09-Mar-15,28.940001,29.1,28.639999,28.9,24.52236,1436900
10-Mar-15,28.469999,28.889999,28.129999,28.33,24.038698,1892800
11-Mar-15,28.32,29.02,27.940001,28.91,24.530844,1794500
12-Mar-15,29.440001,29.84,29.110001,29.209999,24.785404,1945100
13-Mar-15,29.030001,29.09,28.52,28.98,24.590244,1307000
16-Mar-15,29.049999,29.23,28.700001,28.99,24.598724,1008500
17-Mar-15,28.799999,29.4,28.799999,29.18,24.759949,1084600
18-Mar-15,28.780001,29.74,28.75,29.6,25.116327,1526900
19-Mar-15,29.49,29.66,29.23,29.41,24.955105,1158200
20-Mar-15,29.73,30.52,29.709999,30.030001,25.481194,2840100
23-Mar-15,30.33,30.49,29.879999,30.389999,25.786663,1522300
24-Mar-15,30.370001,30.73,29.9,30.07,25.515133,1800200
25-Mar-15,30.32,30.370001,29.66,29.66,25.167238,1655000
26-Mar-15,29.709999,30.15,29.35,29.41,24.955105,1631100
27-Mar-15,29.129999,29.299999,28.01,28.33,24.038698,3916400
30-Mar-15,28.370001,29.76,28.33,29.59,25.107841,2133300
31-Mar-15,28.98,29.26,28.790001,29.18,24.759949,1435700
01-Apr-15,29.200001,29.540001,28.809999,28.91,24.530844,1509700
02-Apr-15,28.709999,29.209999,28.700001,29.18,24.759949,948100
06-Apr-15,29.42,29.67,29.27,29.52,25.048447,1003900
07-Apr-15,29.49,29.690001,29.34,29.43,24.972075,1030600
08-Apr-15,29.85,29.91,29.459999,29.51,25.039955,784900
09-Apr-15,29.299999,29.459999,29.049999,29.08,24.675093,1266900
10-Apr-15,29.110001,29.35,28.82,29.040001,24.641153,1508600
13-Apr-15,29.110001,29.25,28.719999,28.99,24.598724,1538300
14-Apr-15,29.459999,29.559999,28.889999,29.360001,24.912678,1161900
15-Apr-15,29.440001,30.139999,29.32,30.049999,25.498161,1721800
16-Apr-15,30.209999,30.209999,29.77,30.059999,25.506651,1040900
17-Apr-15,29.870001,30.09,29.799999,30,25.455736,1034300
20-Apr-15,29.93,30.280001,29.93,30,25.455736,863600
21-Apr-15,30.01,30.030001,29.370001,29.5,25.031479,847900
22-Apr-15,29.73,29.879999,29.48,29.84,25.319979,672600
23-Apr-15,29.459999,30.25,29.41,30.139999,25.574535,1028000
24-Apr-15,30.48,30.98,30.42,30.940001,26.253345,2002100
27-Apr-15,31,31.74,30.969999,31.35,26.601246,1872400
28-Apr-15,31.629999,32.349998,31.59,32.32,27.424318,2224400
29-Apr-15,32.07,32.57,31.879999,32.380001,27.475229,1643100
30-Apr-15,32.119999,32.790001,31.92,32.580002,27.644932,2176900
01-May-15,32.869999,33.310001,32.799999,33.139999,28.120102,1320100
04-May-15,33.299999,33.299999,32.619999,32.639999,27.695841,1502200
05-May-15,32.779999,33.009998,32.630001,32.950001,27.958885,1770300
06-May-15,33,33.119999,32.459999,32.630001,27.687361,1129800
07-May-15,32.169998,32.330002,31.860001,32.209999,27.330976,1469500
08-May-15,32.5,32.709999,32.099998,32.450001,27.534628,1758500
11-May-15,32.48,32.509998,32.099998,32.209999,27.415461,1025300
12-May-15,32.18,32.869999,31.98,32.360001,27.543135,2239500
13-May-15,32.41,32.830002,32.310001,32.41,27.585693,999100
14-May-15,32.689999,33.040001,32.470001,33,28.087872,1220300
15-May-15,32.959999,32.98,32.470001,32.790001,27.909128,1015200
18-May-15,32.360001,32.52,32.040001,32.23,27.432484,1293600
19-May-15,31.780001,31.98,31.4,31.66,26.94733,1261900
20-May-15,31.74,32.349998,31.74,32.119999,27.338856,1144700
21-May-15,32.200001,32.220001,31.41,31.51,26.819658,949300
22-May-15,31.440001,31.639999,31.18,31.370001,26.700499,803000
26-May-15,31.129999,31.190001,30.59,30.67,26.104694,913800
27-May-15,30.52,30.780001,30.459999,30.73,26.155764,1226600
28-May-15,30.73,30.73,30.219999,30.5,25.960003,866500
29-May-15,30.459999,30.76,30.01,30.02,25.551451,1635000
01-Jun-15,30.049999,30.309999,29.73,30.07,25.594004,1051000
02-Jun-15,30.129999,31.23,30.129999,30.9,26.300455,1172700
03-Jun-15,31.01,31.139999,30.52,30.67,26.104694,929100
04-Jun-15,30.4,30.639999,30.190001,30.360001,25.840843,504500
05-Jun-15,30.23,30.73,30.049999,30.4,25.874886,833200
08-Jun-15,30.34,30.43,30.09,30.24,25.738701,822100
09-Jun-15,30.309999,30.719999,30.18,30.370001,25.849352,696600
10-Jun-15,31.15,31.290001,30.620001,30.709999,26.138746,793300
11-Jun-15,30.67,30.790001,30.219999,30.459999,25.925955,1414600
12-Jun-15,30.450001,30.799999,30.33,30.709999,26.138746,566200
15-Jun-15,30.200001,30.35,29.99,30.15,25.6621,1177700
16-Jun-15,30.219999,30.83,30.15,30.74,26.164274,984800
17-Jun-15,30.799999,30.799999,30.1,30.49,25.951487,1020900
18-Jun-15,30.719999,31.35,30.59,31.280001,26.623898,938800
19-Jun-15,31.049999,31.049999,30.110001,30.15,25.6621,1403500
22-Jun-15,30.17,30.309999,29.9,29.98,25.517408,1113900
23-Jun-15,30.08,30.440001,29.870001,30.15,25.6621,1418900
24-Jun-15,30.4,31.33,30.4,31.059999,26.436638,1701700
25-Jun-15,31,31.209999,30.309999,30.33,25.815308,1186700
26-Jun-15,30.33,30.65,30.139999,30.549999,26.002558,2684500
29-Jun-15,30.219999,30.59,30.17,30.200001,25.704655,804900
30-Jun-15,30.200001,30.26,29.290001,29.41,25.032248,2106000
01-Jul-15,29.440001,29.52,29.049999,29.24,24.887556,1333100
02-Jul-15,29.389999,29.620001,29.15,29.559999,25.159922,1335900
06-Jul-15,28.870001,29.48,28.85,29.059999,24.734343,1485000
07-Jul-15,28.450001,29.02,27.540001,28.91,24.606676,2280000
08-Jul-15,28.77,29.17,28.23,28.280001,24.070454,1610400
09-Jul-15,28.6,28.92,28.16,28.16,23.968315,940400
10-Jul-15,28.75,28.98,28.4,28.48,24.240685,778800
13-Jul-15,28.559999,29.4,28.389999,29.32,24.955647,832300
14-Jul-15,29.18,29.290001,28.83,29.200001,24.85351,1361100
15-Jul-15,29.129999,29.129999,28.790001,28.92,24.615185,1126000
16-Jul-15,29.07,29.33,28.889999,28.969999,24.657747,1081100
17-Jul-15,28.709999,28.870001,28.18,28.459999,24.223663,1297200
20-Jul-15,28.059999,28.41,27.790001,27.83,23.687437,969700
21-Jul-15,27.969999,28.799999,27.879999,28.35,24.130035,1726700
22-Jul-15,27.799999,28.25,27.57,27.709999,23.585299,1915800
23-Jul-15,27.860001,28.01,26.92,27.42,23.338465,2397700
24-Jul-15,27.129999,27.15,26.4,26.950001,22.938429,3484500
27-Jul-15,26.389999,27,26.030001,26.09,22.20644,1928800
28-Jul-15,26.48,27.58,26.07,27.299999,23.236332,2410600
29-Jul-15,27.200001,28.120001,27.059999,27.950001,23.789576,2203400
30-Jul-15,27.91,27.92,27.110001,27.4,23.321438,2259800
31-Jul-15,27.76,28.059999,27.41,27.860001,23.712971,1356200
03-Aug-15,27.57,27.809999,27.01,27.08,23.049076,1873400
04-Aug-15,27.440001,27.91,27.379999,27.809999,23.67041,1766900
05-Aug-15,28.049999,28.4,27.5,27.52,23.423582,2473100
06-Aug-15,27.379999,28.209999,27.16,28.190001,23.993851,1850300
07-Aug-15,27.959999,28.32,27.379999,27.5,23.406563,1581000
10-Aug-15,27.4,28.84,27.219999,28.67,24.402399,1573300
11-Aug-15,27.940001,27.940001,26.969999,27.66,23.625143,2299600
12-Aug-15,27.33,27.780001,27.200001,27.73,23.684935,2234600
13-Aug-15,27.52,27.77,27.26,27.41,23.411612,1817400
14-Aug-15,27.450001,27.82,27.24,27.610001,23.582436,1500400
17-Aug-15,27.42,27.76,27.209999,27.67,23.63369,1172500
18-Aug-15,27.25,27.280001,26.290001,26.99,23.052876,2755500
19-Aug-15,26.459999,26.950001,26.23,26.690001,22.796644,2470100
